filename,title,genre
kilometer_zero,kilometer zero,"action, crime, romance, thriller"
kolobakha,kolobakha,sci-fi
komissarsha,komissarsha,"drama, war"
kon_belyy,kon belyy,"drama, history, war"
koshki_pod_dozhdyom,koshki pod dozhdyom,"animation, short"
krasnaya_shapochka,krasnaya shapochka,"adventure, family, fantasy"
krasnodar_game_after_game,krasnodar: game after game,"documentary, sport"
lady_of_csejte,lady of csejte,horror
lantset,lantset,"crime, romance"
leaving_afghanistan,leaving afghanistan,"action, drama, war"
legend_no_17,legend no. 17,"biography, drama, sport"
legendy_orlyonka,legendy orlyonka,"comedy, family, fantasy"
leto,leto,"biography, drama, history"
letter,letter,"documentary, short, adventure"
leviathan,leviathan,"drama, crime"
little_angel,little angel,"animation, short"
little_longnose,little longnose,"animation, fantasy, musical"
little_lord_fauntleroy,little lord fauntleroy,family
love_and_the_city,love and the city,"comedy, romance, fantasy"
love_summer_task,love: summer task,"short, comedy, drama"
lucky_trouble,lucky trouble,"comedy, romance, sport"
lzhesvidetelnitsa,lzhesvidetelnitsa,"drama, mystery, romance"
mame_snova_17,mame snova 17,"comedy, sci-fi"
match,match,"drama, history, sport"
mathilde,mathilde,"biography, drama, history"
mermaid_the_lake_of_the,mermaid: the lake of the dead,"horror, drama, romance, fantasy"
minnesota,minnesota,"drama, sport"
mir_druzhba_zhvachka,mir! druzhba! zhvachka! episode #1.1 s01e01 english subtitles (2020) 1cd srt,"comedy, drama, romance"
mira,mira,"adventure, drama, sci-fi"
morning_of_kesha_the_parrot,morning of kesha the parrot,"animation, short, family"
mortal_affair,mortal affair,"crime, mystery, thriller"
moy_papa_vozhd,moy papa - vozhd,"adventure, comedy, family"
moya_uzhasnaya_sestra,moya uzhasnaya sestra,"comedy, family"
mute_witness,mute witness,"horror, crime, thriller"
my_love,my love,"animation, short, drama, romance"
my_mother_is_the_snow,my mother is the snow maiden,romance
my_perestroika,my perestroika,"documentary, biography, family, history, news"
naughty,naughty,"drama, romance"
no_escapes,no escapes,"action, drama"
oderzhimaya,oderzhimaya,"mystery, thriller"
odin_nastoyashchiy_den,odin nastoyashchiy den,"crime, thriller"
odin_vdokh,odin vdokh,"biography, drama, sport"
odinnadtsat_molchalivykh,odinnadtsat molchalivykh muzhchin,"drama, history, sport"
office_romance_our_time,office romance. our time,"comedy, romance"
oleg_tabakov_zazhigayushchiy,oleg tabakov. zazhigayushchiy zvyozdy,documentary
on_an_unnamed_hill,on an unnamed hill,war
on_the_edge,on the edge,"drama, sport"
